RELATORIO DE VALORES E ESPECIFICACOES MINIMAS
Hegemonia Mundial - catalogo atual do projeto

ESCOPO
Este arquivo resume os valores encontrados diretamente nos dados atuais do jogo.
Ele serve como base para comparar itens sem alterar o funcionamento existente.

LEGENDA
- $ = dinheiro do jogo.
- /un = por unidade construida.
- /s = por segundo de simulacao, quando informado pelo sistema economico.
- Preco do menu = DadosConstrucao.preco. Comprar N unidades custa preco x N.
- "Nao informado" significa que o valor nao esta exposto no cadastro principal ou depende de variante do prefab.
- Valores de mercado sao precos-base; o preco atual varia durante a simulacao.
- A categoria abaixo e a categoria cadastrada no asset, mesmo quando existe classificacao suspeita.

1. ESTADO INICIAL E RECURSOS

Recurso             Valor inicial   Taxa passiva inicial   Observacao
Dinheiro            $5.000          $0/s                   usado principalmente na construcao
Petroleo            500             0/s                   combustivel/recurso
Acao                300             +5/s                  industria e construcao
Populacao           3.200/3.200     --                     capacidade inicial registrada
Energia             100             0/s                   saldo inicial
Comida              100             0/s                   saldo inicial

2. MERCADO E RECURSOS COMERCIALIZADOS

Produto             Preco-base/un   Lote padrao   Indicador minimo
Comida              $120            100           alimento agregado
Milho               $84             100           alimento/agricultura
Batata              $78             100           alimento/agricultura
Feijao              $92             100           alimento/agricultura
Trigo               $110            100           alimento/agricultura
Arroz               $118            100           alimento/agricultura
Cana-de-Acucar      $135            100           agricultura/industria
Algodao             $142            100           materia-prima textil
Soja                $155            100           alimento/industria
Cafe                $205            100           produto agricola
Cacau               $235            100           produto agricola
Petroleo            $185            100           combustivel/industria
Acao                $95             100           industria
Energia             $65             100           recurso energetico
Armamentos          $420            50            industria militar
Uranio              $900            50            energia nuclear

O lote padrao e uma referencia de compra do mercado, nao um custo adicional da construcao.
Materiais refinados, municao e equipamentos usam lotes menores conforme a categoria.

3. CATALOGO DO MENU DE CONSTRUCAO

As linhas abaixo mostram: preco unitario | nome | categoria | funcao/especificacao minima.

3.1 EXERCITO
$100/un | Ares Ar | Exercito | sistema de artilharia; ficha de combate depende do prefab.
$700/un | Artilharia | Exercito | artilharia pesada; existe cadastro duplicado pelo mesmo preco.
$100/un | Nav_Yuza | Exercito | navio de desembarque; classificacao cadastrada como Exercito.
$100/un | Quartel General | Exercito | centro de comando; capacidade/raio dependem do prefab.
$700/un | Artilharia | Exercito | segunda ficha de artilharia; verificar duplicidade antes de balancear.
$100/un | Caminhao de transporte | Exercito | transporte terrestre/logistica; velocidade e capacidade dependem do prefab.
$100/un | Hack | Exercito | veiculo militar; arma e vida dependem da variante do prefab.
$200/un | Hamer carro | Exercito | veiculo leve; mobilidade/arma dependem do prefab.
$100/un | Leonc1 | Exercito | tanque/veiculo blindado; vida e arma dependem do prefab.
$100/un | HG Ar | Exercito | veiculo blindado; especificacao nao normalizada no catalogo.
$100/un | Tank_Antigravity | Exercito | tanque especial; mobilidade e arma dependem do prefab.
$100/un | Tank Arthur | Exercito | tanque; comparar por vida, alcance e cadencia no prefab.
$150/un | Tank C1 camuflado | Exercito | tanque camuflado; preco maior que o Tank C1 verde.
$100/un | Tank C1 Verde | Exercito | tanque; ficha de combate depende do prefab.
$100/un | tank codex | Exercito | tanque pesado; ficha de combate depende do prefab.
$500/un | TAnk_South | Exercito | tanque de maior custo; conferir vida, dano e blindagem.
$100/un | Tank_UBU | Exercito | tanque; dados verificados na secao 5.
$100/un | Track Combustivel | Exercito | veiculo de apoio/combustivel; capacidade depende do prefab.

3.2 MARINHA
$2.500/un | Estaleiro Naval | Marinha | estrutura naval; produz/apoia unidades navais.
$100/un | Petroleiro | Marinha | transporte de petroleo; carga e velocidade dependem do prefab.
$100/un | Navio de Carga | Marinha | transporte logistico; existe outra ficha com o mesmo nome.
$3.000/un | Navio de Carga | Marinha | segunda ficha de carga; possivel duplicidade de balanceamento.
$2.000/un | Marinha | Marinha | pier/base naval; capacidade depende do prefab.
$100/un | Corveta Fortaleza | Marinha | navio de combate leve; ficha de armas depende do prefab.
$100/un | Des_Wall | Marinha | navio de desembarque/combate; ficha depende do prefab.
$100/un | F200 | Marinha | fragata; sensores, armas e vida dependem do prefab.
$4.500/un | USS Leviathan | Marinha | navio pesado/submersivel; dados verificados na secao 5.
